T_vals,norm_bern_var,norm_ney_var,norm_etc_var,norm_exp3_var,norm_dbcd_var,norm_ogd_var_0.25,norm_ogd_var_0.5,norm_ogd_var_1.0,norm_ogd_var_2.0,norm_ogd_var_4.0
500,0.6274714507898266,0.5504511611801906,0.6074073984063854,55.5412244943505,14.591662459330701,0.5627838832163014,0.606375613726554,0.8834298609681973,0.9171006404760027,0.9240800213887771
995,0.6276170196383335,0.5508482051204,0.6027835780072194,22.74681448491246,18.538467820366687,0.5595814350516857,0.572005917596727,0.8574281003934602,0.9648034234266757,0.9762880577485435
1490,0.6265791042137805,0.5498155832262811,0.6010357999983394,52.925910511479294,23.470658253238042,0.5533356028748787,0.5646416738021012,0.8054216850240757,0.9774522515645685,0.9933408424555868
1985,0.6213614769524292,0.5447166039080109,0.5961479303099186,503.2577199627758,28.39295606082148,0.548569431438338,0.5591305705070836,0.7451729913525602,0.9784963952188123,1.0040229637576257
2480,0.617941139990718,0.5413528835254997,0.5934862462024045,3312.5358695300047,33.3745873665093,0.5447480971895909,0.554321312318295,0.689612791009234,0.9727495014427897,1.0053548110175106
2976,0.6186107641150722,0.5420048405533625,0.5953317107711441,466.4970468342627,38.830957346457254,0.5472532766455626,0.5536196585496774,0.6580134831178749,0.9712940535616462,1.0161364241001158
3471,0.6229472578076394,0.5461500355815041,0.59797575124866,4585.833314057732,44.77365619996792,0.5494177539520955,0.554981577859246,0.6374060311695415,0.9799247319569067,1.0376460722807435
3966,0.6218886629203929,0.5451411601328288,0.5978577353008196,400.0770724352318,50.05769567692379,0.5481155351173587,0.553846596934482,0.6135457850840244,0.976661419791134,1.0478385985939562
4461,0.6278051237949203,0.5509458800553254,0.6035047684514996,665.1088358676229,56.479795695922874,0.5531528697297572,0.5582774400714049,0.6060956711073082,0.9819960438648537,1.0643159093980739
4956,0.6265692688226139,0.5497607594781304,0.6042543008991255,11415.396321297223,61.76968881463676,0.5533895233567092,0.5588205511666604,0.5932810190082495,0.9779985088954255,1.069447057649535
5451,0.6251135625742239,0.548336515261017,0.602925415560925,430.2809741591672,67.02380066363237,0.5508442573442582,0.5556457345678083,0.581411502762853,0.9645259469078227,1.0744030451982156
5946,0.6240289434618924,0.5472974076314193,0.6057734049486472,1622.771347509569,72.34699352798131,0.5501773371164937,0.5558677350643834,0.5768486205769038,0.9528269435330938,1.0822546887266364
6441,0.6236710720932264,0.5469370414855056,0.6063222596981392,1138.6096279307444,77.84965933895465,0.5488464216843467,0.5535863516905403,0.571065434824738,0.9383253408373763,1.0851104821086268
6937,0.623200100680656,0.5465120986820727,0.6048636154187282,1877.1686670904378,83.3140324590479,0.550782987507052,0.5541387537705236,0.56921768095195,0.9295135151628827,1.0875129907723482
7432,0.6248826530897273,0.5481117616428542,0.6054402020463907,1290.8508777252266,89.30664315724299,0.5514193650500167,0.5547728266210867,0.5693727214124248,0.9169936693498001,1.0942098455094444
7927,0.6222941234305277,0.5455986343704851,0.6015400300529821,1742.844662237887,94.1008967916005,0.5481253604487485,0.5509201227739619,0.5660632369350861,0.8984862629666234,1.0898220046169504
8422,0.6228470311431951,0.5461343661956739,0.6016029396397046,3948.4851030370805,99.70901485987433,0.5475585648458209,0.5502866091282629,0.564323499575381,0.8875536300325462,1.08730427465374
8917,0.6212768772272792,0.5445991619056646,0.5997496020424313,9868.05733046581,104.74033208205984,0.5483194190046491,0.5514541893367964,0.5633802388669908,0.8719870675848767,1.0836518083207984
9412,0.6217723206494172,0.5450505945415882,0.6028184988585708,61926.879374692995,110.41422687245321,0.5479734028351786,0.5507950402878361,0.5620170842039466,0.8574787574148818,1.0840888687709196
9907,0.6218571397146937,0.5451452677102123,0.6035749386247566,1059.1640007973597,116.01688814877483,0.5473845814390812,0.5500362736268245,0.5601095327544077,0.8424585939199091,1.088066178757948
10402,0.6212926781930034,0.5445698524343905,0.6043728631819325,1303.571550560734,121.3238197153833,0.5469869865214093,0.5487883604873554,0.5573940317418721,0.8283947600468896,1.0895158432486776
10897,0.6206830881543026,0.5439937319731822,0.6050550791531972,1202.1858019923975,126.64629583108083,0.5457058946736082,0.5475413040708076,0.5557439624501822,0.8114837484381867,1.0882159302178513
11393,0.6200214035275557,0.5433608675787109,0.6043916350950599,1956.772839684631,131.88532042267903,0.5446240091958607,0.5464324492281927,0.5541137618882785,0.7986651176137936,1.0877181503751563
11888,0.6189436685025889,0.5423045491334307,0.6026437982602988,1387.545267395098,136.87708639517754,0.5430844068813332,0.544981024439033,0.551880455191041,0.781021253503149,1.085147531773002
12383,0.6177172858674861,0.5410964381214648,0.600533049315883,19017.610758556202,141.7784604909455,0.541400259433513,0.5430041321508857,0.5499393958587624,0.765260249489364,1.0808103703523686
12878,0.6177664278525311,0.541141080965075,0.6003582109474536,23649.08316377708,147.26341783863293,0.54081939550629,0.543322642015238,0.5492066411675963,0.7521334927609304,1.0798307964409348
13373,0.6181031725427084,0.5414291035779116,0.600061517092937,1639.824755038701,152.82701763900116,0.5413372486362321,0.5432001439420081,0.5492349941479727,0.7417661787158184,1.078939256144272
13868,0.6180147969139084,0.5413459859000581,0.5994749094759146,4140.418374637765,158.23667297617678,0.5419484011728666,0.5430326252676344,0.5488925595291653,0.7346761395300317,1.0791660334649753
14363,0.6178766308395767,0.5412322372406657,0.5999877528468253,18295.65648480693,163.60284001876474,0.5426391936047158,0.5427055391123984,0.5484273376226045,0.7233917406596606,1.0798412799640575
