T_vals,norm_bern_var,norm_ney_var,norm_etc_var,norm_exp3_var,norm_dbcd_var,norm_ogd_var_0.25,norm_ogd_var_0.5,norm_ogd_var_1.0,norm_ogd_var_2.0,norm_ogd_var_4.0
500,0.6274714507898265,0.6042668737915685,0.6513642710076452,4.049051277639351,26.54810676786201,0.5684709525233502,0.6110000143283406,0.8836254763663505,0.9192165291798179,0.9263069858894513
995,0.6276170196383334,0.5826220099528076,0.64787358028448,4.064357259931635,58.696397943494524,0.5624072103779579,0.5751382989790794,0.8610605878441704,0.9658673663735825,0.9772882968320549
1490,0.6265791042137805,0.5722485225839598,0.6442487092690388,13.479610301644811,91.37269401843595,0.5564516214306138,0.5676715639666232,0.8071714267787853,0.9785899741166574,0.9948016126118882
1985,0.6213614769524292,0.5620925718430403,0.6386218628143079,53.62048991578253,123.47453425238221,0.5505937307106221,0.5615233613884242,0.747309668575626,0.9805375144830766,1.0046431775636708
2480,0.617941139990718,0.5555344355405079,0.6356995685484997,92.4554013478306,155.58521708581623,0.5462384303601434,0.5561969880150186,0.6919412592930049,0.9752512469700513,1.0052846939081443
2976,0.6186107641150722,0.5539539334793562,0.6381719781152502,432.78369788555153,188.50466846759855,0.5482694016150423,0.5550727331248378,0.6598291604774291,0.9728476549085077,1.015935585187084
3471,0.6229472578076394,0.5564557849067632,0.6392998196006804,533.328819312382,222.54129596679837,0.5500785187935283,0.5562882625858617,0.6386357669116791,0.982036015196995,1.0381869650337754
3966,0.6218886629203929,0.5542206386699039,0.6400952228877357,451.07237733355083,255.0466554873321,0.5485717000250007,0.5555642087452989,0.615182031848799,0.979571777262284,1.0479963934778977
4461,0.6278051237949203,0.5590201872504814,0.6455311545282527,1138.9874593280574,290.154076532775,0.5531387346324754,0.5597238447709925,0.6077678834501011,0.9844543858951215,1.0654610572560128
4956,0.6265692688226139,0.5570609564991563,0.6476705710088673,719.5559809853963,322.71814264907795,0.5532553150599324,0.5601877643803881,0.5946222439989128,0.9802500562965913,1.07056650090173
5451,0.6251135625742239,0.5550017832147485,0.6462963280774014,2964.536089875846,355.11845957761955,0.5508008770990614,0.556485056521831,0.5825378943678273,0.9661473404376459,1.075671891715729
5946,0.6240289434618924,0.5534276122809254,0.6466166394957441,347.5923442311345,387.63220860005185,0.5502979238572582,0.556920534327138,0.5783259184893199,0.954229577867694,1.0832461146384207
6441,0.6236710720932264,0.5526109143783379,0.6477424033416146,1823.093824802605,420.45218971684307,0.5486376080505272,0.5545725711318499,0.5724478833979688,0.9397727199173878,1.0861988426194953
6937,0.623200100680656,0.5517906913973497,0.6484478626543286,2040.6150828435952,453.18516339503935,0.5504160723042189,0.5547597485003686,0.5704690068959928,0.9304726366060436,1.0880841674886241
7432,0.6248826530897273,0.5530427192275177,0.6483185789937798,16339.361449052947,487.28198302037083,0.551076399466893,0.5553160422365021,0.5702995113779135,0.9174065406667554,1.094979144938919
7927,0.6222941234305277,0.5502366741510253,0.6447972093646511,1727.791628818915,518.4959015349968,0.5479771569510998,0.5512027234452953,0.5668760492062465,0.8983937505717685,1.0898490552117286
8422,0.6228470311431951,0.5505036072498235,0.6456483554271739,1994.259018111917,551.7704310389912,0.5473546915736955,0.5505705113468323,0.5653842887061696,0.8880545649120184,1.0874243854799774
8917,0.6212768772272791,0.5487355301202955,0.6437340532929959,1773.5583808140207,583.4924019780402,0.5481956742272156,0.5519023464054081,0.5644835643780078,0.8724740162522092,1.0838449278901308
9412,0.6217723206494172,0.5489731149052677,0.6476857064197263,3583.7371557696947,616.8028564767527,0.5475913298272052,0.550814458079132,0.5629125378754939,0.8579149775004741,1.0840514629073004
9907,0.6218571397146937,0.5488746913496149,0.6496776053683768,764.3878632300031,649.7840469792555,0.5469771460376476,0.5502381776144148,0.5611793258977363,0.8427421759184628,1.0880393394044081
10402,0.6212926781930033,0.5481270094486951,0.6502885275107412,7570.897834305208,682.2087823009056,0.5466799976142808,0.5488684899166835,0.5586668996783168,0.8289133239786368,1.0895622396313864
10897,0.6206830881543026,0.5473929575133808,0.6507328825372906,1641.8554003335537,714.4469487731395,0.5455497577072581,0.5476152696003439,0.5569969105973231,0.8120197270469729,1.0882668114276135
11393,0.6200214035275557,0.5466156618218999,0.6511931224220905,2276.8452677568434,746.627928730784,0.5443695725393165,0.5463336729343891,0.5552225951401291,0.7989612950994393,1.0874503293212519
11888,0.6189436685025889,0.5454284380937333,0.6489429543257978,1256.6493209444197,778.332418936999,0.5428295471451667,0.5448491545415602,0.5527801887802308,0.7811568319141404,1.0848141009834942
12383,0.6177172858674862,0.5441002924662109,0.6468260786947427,1239.2796855070953,809.8237857679729,0.5412825868590497,0.542781298706579,0.550659290540561,0.7653263653000959,1.0803951585379732
12878,0.6177664278525312,0.5440310067418553,0.6466965888026792,8138.550225655355,842.684798036498,0.5408794845116682,0.5432584642496724,0.5500532046292499,0.752321853406798,1.0795062732968477
13373,0.6181031725427084,0.5442137083487194,0.6453174168820468,1908.5973633719873,875.8582085418934,0.5415010743280062,0.5432099510063739,0.5500339590734126,0.7421940727638687,1.0789578381104377
13868,0.6180147969139084,0.5440325616476313,0.6468045014055097,10904.142354919206,908.5545394301303,0.5422254945585407,0.5430824232507125,0.5496141706739769,0.7348653107193951,1.0791803430466
14363,0.6178766308395767,0.5438271290992859,0.648426034821848,1831.7602802819904,941.0468385681107,0.5429344003517161,0.5428260109371259,0.549132041829195,0.7237870591887677,1.0803395656013282
14858,0.6175819164222764,0.543474876864966,0.6489082490529948,4894.582378309943,973.3113562787252,0.5434865154185525,0.5432825354423251,0.5488395866219627,0.7143294703593268,1.0752875063402882
15354,0.6167509853613212,0.5425775494092231,0.6479747414279151,2466.416220121182,1004.9988182583384,0.5424325492170055,0.5426081838188092,0.5475996649769066,0.7056098343433469,1.0725730997601401
