unit,y1,y0
1,0.6675571934151213,0.360781456843772
2,0.6702644175895487,0.360781456843772
3,0.6882979648709191,0.360781456843772
4,0.360781456843772,0.10384546426841365
5,0.6891948812618138,0.360781456843772
6,0.6556155931667379,0.360781456843772
7,0.6576240198602175,0.360781456843772
8,0.6852105600594123,0.360781456843772
9,0.65706358384703,0.360781456843772
10,0.360781456843772,0.08496762407513038
11,0.360781456843772,0.05173805557924343
12,0.360781456843772,0.03370517688593999
13,0.360781456843772,0.04908275571683753
14,0.6651189932778604,0.360781456843772
15,0.6235521361389224,0.360781456843772
16,0.66089232937724,0.37093172024625154
17,0.6880837840564349,0.360781456843772
18,0.6504389074793586,0.360781456843772
19,0.6508751911923258,0.360781456843772
20,0.6607959563311422,0.360781456843772
21,0.6521949844545493,0.360781456843772
22,0.360781456843772,0.022788339425258663
23,0.360781456843772,0.03806839822738983
24,0.360781456843772,0.043544242131243624
25,0.6580653186161001,0.360781456843772
26,0.6776675858543865,0.360781456843772
27,0.6546843449159808,0.360781456843772
28,0.6839708189220001,0.360781456843772
29,0.6707512355743105,0.360781456843772
30,0.360781456843772,0.05302922088847325
31,0.360781456843772,0.06794765494728132
32,0.360781456843772,0.060444287761309376
33,0.6568993839157257,0.360781456843772
34,0.6583957042102122,0.360781456843772
35,0.360781456843772,0.028832812999210335
36,0.360781456843772,0.07957886331723231
37,0.6769221059121667,0.360781456843772
38,0.6633971351016846,0.360781456843772
39,0.360781456843772,0.03716213058645176
40,0.6576170113376456,0.360781456843772
41,0.663633604220601,0.360781456843772
42,0.360781456843772,0.04956289286755335
43,0.6935835972490119,0.360781456843772
44,0.7064559003201151,0.3878488259170508
45,0.360781456843772,0.05613734361647992
46,0.6469790587649228,0.360781456843772
47,0.360781456843772,0.05290200631242209
48,0.360781456843772,0.08426387461085064
49,0.678243719928342,0.360781456843772
50,0.360781456843772,0.045732081908452245
51,0.360781456843772,0.11257535438108697
52,0.6845766090833603,0.360781456843772
53,0.6448924399255356,0.360781456843772
54,0.360781456843772,0.06961946653826097
55,0.360781456843772,0.06263138421539656
56,0.6729409827419972,0.360781456843772
57,0.360781456843772,0.06144652557548796
58,0.6459249889377832,0.360781456843772
59,0.360781456843772,0.03256346778106624
60,0.360781456843772,0.05627339905389814
61,0.361119798957188,0.04389593014967932
62,0.360781456843772,0.04265894191859953
63,0.360781456843772,0.07428642544244289
64,0.6542524173961741,0.360781456843772
65,0.69058931379726,0.360781456843772
66,0.6574525835107564,0.360781456843772
67,0.6701865354862465,0.360781456843772
68,0.360781456843772,0.08132353344950323
69,0.360781456843772,0.04786601131363407
70,0.6476896318628167,0.360781456843772
71,0.6765422762660893,0.360781456843772
72,0.360781456843772,0.033471008232111805
73,0.360781456843772,0.05527129422989116
74,0.360781456843772,0.08466343391645807
75,0.360781456843772,0.06417299888230094
76,0.6856042620435095,0.360781456843772
77,0.360781456843772,0.07057706448411298
78,0.360781456843772,0.03333776161136015
79,0.6635840968088691,0.360781456843772
80,0.6329150183097704,0.360781456843772
81,0.360781456843772,0.03693059486312872
82,0.6782975151604682,0.360781456843772
83,0.360781456843772,0.022195033162260135
84,0.7049871569465914,0.360781456843772
85,0.6800332605355077,0.360781456843772
86,0.360781456843772,0.04037701331881175
87,0.6409127986037139,0.360781456843772
88,0.6856915989229098,0.360781456843772
89,0.6660927564347372,0.360781456843772
90,0.6910671835931408,0.360781456843772
91,0.6683492614084944,0.360781456843772
92,0.360781456843772,0.032321191637393346
93,0.6906616043446433,0.360781456843772
94,0.6649347515204106,0.360781456843772
95,0.6757562202079762,0.360781456843772
96,0.6440312619777193,0.360781456843772
97,0.7534787377965225,0.43860014292944843
98,0.6751019602202843,0.360781456843772
99,0.360781456843772,0.061653270799152886
100,0.6520357341500466,0.360781456843772
